{'epoch': 0, 'trainloss': 0.7288, 'testloss': 1.5749, 'trainiou': 0.7478, 'testiou': 0.5602, 'trainbiou': 0.5259, 'testbiou': 0.4045, 'trainscore': 0.6368, 'testscore': 0.4823}
{'epoch': 1, 'trainloss': 0.479, 'testloss': 1.6096, 'trainiou': 0.82, 'testiou': 0.5597, 'trainbiou': 0.643, 'testbiou': 0.4067, 'trainscore': 0.7315, 'testscore': 0.4832}
{'epoch': 2, 'trainloss': 0.3986, 'testloss': 1.4042, 'trainiou': 0.8465, 'testiou': 0.5743, 'trainbiou': 0.6721, 'testbiou': 0.4236, 'trainscore': 0.7593, 'testscore': 0.499}
{'epoch': 3, 'trainloss': 0.3478, 'testloss': 1.49, 'trainiou': 0.8638, 'testiou': 0.5754, 'trainbiou': 0.6922, 'testbiou': 0.429, 'trainscore': 0.778, 'testscore': 0.5022}
{'epoch': 4, 'trainloss': 0.3149, 'testloss': 1.387, 'trainiou': 0.8749, 'testiou': 0.5902, 'trainbiou': 0.7215, 'testbiou': 0.4454, 'trainscore': 0.7982, 'testscore': 0.5178}
{'epoch': 5, 'trainloss': 0.2892, 'testloss': 1.0377, 'trainiou': 0.8839, 'testiou': 0.634, 'trainbiou': 0.7444, 'testbiou': 0.5023, 'trainscore': 0.8142, 'testscore': 0.5682}
{'epoch': 6, 'trainloss': 0.2758, 'testloss': 1.1127, 'trainiou': 0.8885, 'testiou': 0.6206, 'trainbiou': 0.7564, 'testbiou': 0.4827, 'trainscore': 0.8225, 'testscore': 0.5516}
{'epoch': 7, 'trainloss': 0.2571, 'testloss': 1.0072, 'trainiou': 0.895, 'testiou': 0.6352, 'trainbiou': 0.7646, 'testbiou': 0.5002, 'trainscore': 0.8298, 'testscore': 0.5677}
{'epoch': 8, 'trainloss': 0.2444, 'testloss': 0.8419, 'trainiou': 0.8993, 'testiou': 0.6852, 'trainbiou': 0.7769, 'testbiou': 0.5558, 'trainscore': 0.8381, 'testscore': 0.6205}
{'epoch': 9, 'trainloss': 0.2378, 'testloss': 0.7581, 'trainiou': 0.9012, 'testiou': 0.6964, 'trainbiou': 0.7813, 'testbiou': 0.5649, 'trainscore': 0.8412, 'testscore': 0.6306}
{'epoch': 10, 'trainloss': 0.2305, 'testloss': 0.868, 'trainiou': 0.9041, 'testiou': 0.6777, 'trainbiou': 0.7874, 'testbiou': 0.547, 'trainscore': 0.8457, 'testscore': 0.6124}
